Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
drpg,10,LinfBox,0.1,0.7013953465521772
scenario,10,LinfBox,0.1,-0.08568815074609099
drpg,10,LinfBox,0.1,0.5529350729809323
scenario,10,LinfBox,0.1,0.19950045901776906
drpg,10,LinfBox,0.1,0.6727629212347903
scenario,10,LinfBox,0.15,0.3247256979248217
drpg,10,LinfBox,0.15,1.2021420912955951
scenario,10,LinfBox,0.15,-0.264669037137478
drpg,10,LinfBox,0.15,0.9688736724333206
scenario,10,LinfBox,0.15,0.2817750856330005
drpg,10,LinfBox,0.15,1.1556823909822478
scenario,10,LinfBox,0.2,0.4128497746196009
drpg,10,LinfBox,0.2,1.6963715061963223
scenario,10,LinfBox,0.2,-0.4487427536680412
drpg,10,LinfBox,0.2,1.3786113397373487
scenario,10,LinfBox,0.2,0.35265101421764206
drpg,10,LinfBox,0.2,1.6146007114332201
scenario,20,L2Ball,0.1,0.14598874020702865
budgeted,20,L2Ball,0.1,0.1526857680399651
drpg,20,L2Ball,0.1,0.4386024186650764
scenario,20,L2Ball,0.1,0.34276266415962137
budgeted,20,L2Ball,0.1,0.3366219221326125
drpg,20,L2Ball,0.1,0.5239144619222259
scenario,20,L2Ball,0.1,0.12779026358957088
budgeted,20,L2Ball,0.1,0.19500199738886395
drpg,20,L2Ball,0.1,0.2501731292513149
scenario,20,L2Ball,0.15,0.2030429129951178
budgeted,20,L2Ball,0.15,0.21541409944491036
drpg,20,L2Ball,0.15,0.7809634206191342
scenario,20,L2Ball,0.15,0.47714840971027755
budgeted,20,L2Ball,0.15,0.47251204299287214
drpg,20,L2Ball,0.15,0.8293847928814361
scenario,20,L2Ball,0.15,0.18930538732682406
budgeted,20,L2Ball,0.15,0.263826945175516
drpg,20,L2Ball,0.15,0.4175894397774845
scenario,20,L2Ball,0.2,0.24900166544269278
budgeted,20,L2Ball,0.2,0.27176987595927055
drpg,20,L2Ball,0.2,1.1177314348230456
scenario,20,L2Ball,0.2,0.612173213019729
budgeted,20,L2Ball,0.2,0.6072390135932233
drpg,20,L2Ball,0.2,1.1347472582938298
scenario,20,L2Ball,0.2,0.2493362344988109
budgeted,20,L2Ball,0.2,0.3161851728978925
drpg,20,L2Ball,0.2,0.5839656632703247
scenario,20,L1Ball,0.1,0.11694557419014451
budgeted,20,L1Ball,0.1,0.1526857680399651
drpg,20,L1Ball,0.1,0.3481279781666942
scenario,20,L1Ball,0.1,0.2855721739700813
budgeted,20,L1Ball,0.1,0.3366219221326125
drpg,20,L1Ball,0.1,0.4586378115658058
scenario,20,L1Ball,0.1,0.08975520749077655
