Problem_Size,Method,Mean_Time,Std_Time,N_Samples
5,nominal,0.004777925985830801,0.0015407410858644531,27
5,scenario,0.16084461741977268,0.0034860150979702967,27
5,budgeted,0.16020721859402126,0.004013902863396658,18
5,drpg,0.034672843085394964,0.015309472974312467,27
10,nominal,0.013598706987169053,0.0014708845237075985,27
10,scenario,0.3948483732011583,0.01192157955289898,27
10,budgeted,0.38464144865671795,0.01298184321782669,18
10,drpg,3.4945062255859374,4.213836909164184,25
20,nominal,0.02561012903849284,0.00604230597826001,27
20,scenario,0.650987218927454,0.038592199872607785,27
20,budgeted,0.6561433341768053,0.048219539955165217,18
20,drpg,2.8600140942467585,5.436985963413143,27
