Method,Mean_Objective,Mean_Time,Mean_Iterations,Success_Rate
nominal,348589.1029894466,0.013596043174649462,1.0,100.0
scenario,348562.7215205727,0.38084106975131565,20.0,100.0
budgeted,348560.0360192493,0.3823208102473506,20.0,66.66666666666666
drpg,356341.4201120821,0.08344476345257881,2.3846153846153846,96.29629629629629
