Method,Mean_Cost,Worst_Case,Std_Cost,VSS_Value,VSS_Percent,Worst_Improvement
nominal,348589.1299603418,348552.05889047356,18.655651456809597,nan,nan,nan
scenario,348589.23097702855,348552.1813739886,18.612568345910383,0.042685904742770446,1.8876914229235658e-05,5.180191288854312e-05
drpg,356379.44070794684,356341.85816114204,18.938221725672804,-0.6887873597420716,-0.00023407954323372408,-0.00017715426861537759
