Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
drpg,10,LinfBox,0.1,0.008990438611446347
scenario,10,LinfBox,0.1,0.005556036916144778
drpg,10,LinfBox,0.1,0.00842611068543
scenario,10,LinfBox,0.1,0.0034137646719596044
drpg,10,LinfBox,0.1,0.006131861496239368
scenario,10,LinfBox,0.15,0.008145040297617324
drpg,10,LinfBox,0.15,0.013551318065783309
scenario,10,LinfBox,0.15,0.008261393733864364
drpg,10,LinfBox,0.15,0.012706944955312709
scenario,10,LinfBox,0.15,0.005113341781921899
drpg,10,LinfBox,0.15,0.009280990978972548
scenario,10,LinfBox,0.2,0.010851210490450361
drpg,10,LinfBox,0.2,0.018094974760500024
scenario,10,LinfBox,0.2,0.010962574741952807
drpg,10,LinfBox,0.2,0.01697789440687196
scenario,10,LinfBox,0.2,0.006808045565860558
drpg,10,LinfBox,0.2,0.012419656219500199
scenario,20,L2Ball,0.1,0.0035103337779961805
budgeted,20,L2Ball,0.1,0.0036990292314886494
drpg,20,L2Ball,0.1,0.004232831704204836
scenario,20,L2Ball,0.1,0.0076547272857311124
budgeted,20,L2Ball,0.1,0.007418456080494649
drpg,20,L2Ball,0.1,0.0079286732060566
scenario,20,L2Ball,0.1,0.002419930676990041
budgeted,20,L2Ball,0.1,0.003778733384839125
drpg,20,L2Ball,0.1,0.0027354071369086
scenario,20,L2Ball,0.15,0.005258686231395741
budgeted,20,L2Ball,0.15,0.005542496092094302
drpg,20,L2Ball,0.15,0.006375933223402707
scenario,20,L2Ball,0.15,0.011468615773360148
budgeted,20,L2Ball,0.15,0.011115278731017851
drpg,20,L2Ball,0.15,0.011901107082567319
scenario,20,L2Ball,0.15,0.003624380104918913
budgeted,20,L2Ball,0.15,0.005655850368825668
drpg,20,L2Ball,0.15,0.004109202520978599
scenario,20,L2Ball,0.2,0.007002509023123938
budgeted,20,L2Ball,0.2,0.007381976273902731
drpg,20,L2Ball,0.2,0.008515500846494778
scenario,20,L2Ball,0.2,0.015279626516849604
budgeted,20,L2Ball,0.2,0.014807901840800344
drpg,20,L2Ball,0.2,0.015870375703806394
scenario,20,L2Ball,0.2,0.004825150764904009
budgeted,20,L2Ball,0.2,0.007524796873329923
drpg,20,L2Ball,0.2,0.00547917281832322
scenario,20,L1Ball,0.1,0.0029703980847939817
budgeted,20,L1Ball,0.1,0.0036990292314886494
drpg,20,L1Ball,0.1,0.0031757396835469663
scenario,20,L1Ball,0.1,0.0059288510922004345
budgeted,20,L1Ball,0.1,0.007418456080494649
drpg,20,L1Ball,0.1,0.0065087429007575255
scenario,20,L1Ball,0.1,0.0017135446839759223
budgeted,20,L1Ball,0.1,0.003778733384839125
drpg,20,L1Ball,0.1,0.0025803080187192526
scenario,20,L1Ball,0.15,0.0044497860413994965
budgeted,20,L1Ball,0.15,0.005542496092094302
drpg,20,L1Ball,0.15,0.004784317208866111
scenario,20,L1Ball,0.15,0.008882996919083222
budgeted,20,L1Ball,0.15,0.011115278731017851
drpg,20,L1Ball,0.15,0.009770578076106698
scenario,20,L1Ball,0.15,0.002567523709961897
budgeted,20,L1Ball,0.15,0.005655850368825668
drpg,20,L1Ball,0.15,0.0038761138711581418
scenario,20,L1Ball,0.2,0.005925308644192462
budgeted,20,L1Ball,0.2,0.007381976273902731
drpg,20,L1Ball,0.2,0.006388307225639822
scenario,20,L1Ball,0.2,0.011834361680490773
budgeted,20,L1Ball,0.2,0.014807901840800344
drpg,20,L1Ball,0.2,0.013028942479555253
scenario,20,L1Ball,0.2,0.003419640068900919
budgeted,20,L1Ball,0.2,0.007524796873329923
drpg,20,L1Ball,0.2,0.005168127679947096
scenario,20,LinfBox,0.1,0.003727819811419124
drpg,20,LinfBox,0.1,0.006994722473479586
scenario,20,LinfBox,0.1,0.008419566945572915
drpg,20,LinfBox,0.1,0.012862257188879482
scenario,20,LinfBox,0.1,0.0026611148095805883
drpg,20,LinfBox,0.1,0.003596244264810558
