experiment_id,problem_size,uncertainty_set,radius_p,method,por_percent,worst_protection_percent,var_reduction_percent,nominal_mean,robust_mean,nominal_worst,robust_worst,nominal_std,robust_std
1,5,L2Ball,0.1,scenario,0.00019086477080725153,-0.00021960590911557207,0.45415067389843317,163144.95464163597,163144.6432553922,163116.95309409144,163116.59487962368,13.147006119148113,13.087298902260533
1,5,L2Ball,0.1,drpg,0.00027045030121241595,-0.00029822639574882137,0.4547544783188701,163144.95464163597,163144.51341561473,163116.95309409144,163116.46663628137,13.147006119148113,13.087219520056431
2,5,L2Ball,0.1,scenario,-5.797802067939103e-05,3.320888012664047e-05,2.475163229965533,146024.15074967535,146024.23541158767,146010.5951977063,146010.64368618984,6.416748484704691,6.25792348565191
2,5,L2Ball,0.1,drpg,1.0016155185949615e-05,-3.771341402992414e-05,2.493797522099845,146024.15074967535,146024.1361236698,146010.5951977063,146010.540132126,6.416748484704691,6.256727769993746
3,5,L2Ball,0.1,scenario,-0.00079764958024644,0.00019181713099604444,0.6694591991863642,160686.1531269027,160687.43483932863,160660.02765506672,160660.33582852242,12.164127786316064,12.082693913849786
3,5,L2Ball,0.1,drpg,-0.0005893259336667833,-9.41935312831235e-06,0.7105546621202845,160686.1531269027,160687.1000920749,160660.02765506672,160660.01252193138,12.164127786316064,12.077695009224126
4,5,L2Ball,0.15,scenario,0.0001287057046624155,-6.961938522757159e-05,-2.443631979875147,163145.6692041527,163145.45922636954,163102.23198790406,163102.11843713286,20.034296616661177,20.523861095728954
4,5,L2Ball,0.15,drpg,0.0002865702223451714,-0.00022600466614112715,-2.449124569117972,163145.6692041527,163145.20167724573,163102.23198790406,163101.8633692492,20.034296616661177,20.524961497349796
5,5,L2Ball,0.15,scenario,-0.00016272623741809286,0.0008724383723880975,3.6740475548148908,146024.47641321892,146024.7140333551,146003.40634447202,146004.68013421397,9.746497927038115,9.388406958269687
5,5,L2Ball,0.15,drpg,-2.8100787661358878e-05,0.0007364910623531415,3.7006613079424264,146024.47641321892,146024.51744724697,146003.40634447202,146004.48164651048,9.746497927038115,9.385813049372805
6,5,L2Ball,0.15,scenario,0.00017193019677012002,2.441235803017083e-05,1.2161580260681175,160687.16103622073,160686.88476646857,160647.59474808836,160647.63396595436,18.13278863907384,17.912265274689776
6,5,L2Ball,0.15,drpg,0.0005864231422314557,-0.00037854568916702986,1.2804388204975514,160687.16103622073,160686.21872952182,160647.59474808836,160646.9866235437,18.13278863907384,17.90060937410037
7,5,L2Ball,0.2,scenario,2.81150039065068e-05,0.00012148804266162274,2.5278614787862463,163145.57194007153,163145.5260716876,163089.34655935768,163089.5446934126,26.698708945390877,26.023802566627083
7,5,L2Ball,0.2,drpg,0.00026301871902139137,-0.00012080479928187547,2.522185159992603,163145.57194007153,163145.14283667807,163089.34655935768,163089.14953959992,26.698708945390877,26.02531807046061
8,5,L2Ball,0.2,scenario,-8.243076128396346e-05,-0.0009959169099901652,2.9571152010788904,146024.13649707145,146024.25686587882,145997.89727225638,145996.4432545092,12.576529320719402,12.204626860408265
8,5,L2Ball,0.2,drpg,0.00011640747153156961,-0.0011937914391170158,2.982620393485106,146024.13649707145,146023.96651406633,145997.89727225638,145996.15436185745,12.576529320719402,12.201419192406991
9,5,L2Ball,0.2,scenario,0.0013046634440128998,-0.001006330960439478,-0.27034243118893453,160687.03926307967,160684.94283801914,160635.24063565617,160633.62411349628,23.818030788699364,23.882421032194863
9,5,L2Ball,0.2,drpg,0.0019256944282335085,-0.0015937330143717227,-0.18249194803403343,160687.03926307967,160683.9449217177,160635.24063565617,160632.68053879344,23.818030788699364,23.861496777069007
